Week of,Prediction,Name,APTA Name,Size,Region,City
2018-02-04,248188.0,Foothill Transit,Foothill Transit,2M+,Pacific,Los Angeles
2018-02-04,109761.0,Unitrans,Unitrans,Under 500k,Pacific,Sacramento
2018-02-04,827602.0,Orange County Transp Auth,Orange County Transp Auth,2M+,Pacific,Los Angeles
2018-02-04,28367.0,San Joaquin Reg Rail Comm,San Joaquin Reg Rail Comm,Under 500k,Pacific,SF Bay Area
2018-02-04,112487.0,Tompkins Consol Area Transit,Tompkins Consol Area Transit,Under 500k,Mid-Atlantic,Ithaca
2018-02-04,52634.0,Tr Auth of Northern Kentucky,Tr Auth of Northern Kentucky,"500,000-1.99M",East Central,Cincinnati
2018-02-04,1973118.0,Regional Trp District,Regional Trp District,2M+,Mountain,Denver
2018-02-04,89885.0,Virginia Railway Express,Virginia Railway Express,2M+,South-Atlantic,Washington D.C.
2018-02-04,775001.0,Santa Clara Valley Trp Auth,Santa Clara Valley Trp Auth,"500,000-1.99M",Pacific,SF Bay Area
2018-02-04,549440.0,Long Beach Transit,Long Beach Transit,2M+,Pacific,Los Angeles
2018-02-04,7003.0,City of Redondo Beach,City of Redondo Beach,2M+,Pacific,Los Angeles
2018-02-04,302484.0,Rochester Genesee RTA,Rochester Genesee RTA,"500,000-1.99M",Mid-Atlantic,Rochester
2018-02-04,1557213.0,Metro Transit,Metro Transit,2M+,West Central,Minneapolis-Saint Paul
2018-02-04,283404.0,City of Tucson MTS,City of Tucson MTS,"500,000-1.99M",Mountain,Tucson
2018-02-04,2478853.0,King County Dept of Trp,King County Dept of Trp,2M+,Pacific,Seattle
2018-02-04,292606.0,Hillsborough Area Reg TA,Hillsborough Area Reg TA,2M+,South-Atlantic,Tampa
2018-02-04,1264937.0,Dallas Area Rapid Transit,Dallas Area Rapid Transit,2M+,West Central,Dallas
2018-02-04,2611987.0,MTA Bus Company,MTA Bus Company,2M+,Mid-Atlantic,NYC
2018-02-04,20582.0,SunRail,SunRail,"500,000-1.99M",South-Atlantic,Orlando
2018-02-04,577262.0,Central Florida RTA,Central Florida RTA,"500,000-1.99M",South-Atlantic,Orlando
2018-02-04,806682.0,City of Phoenix PTD,City of Phoenix PTD,2M+,Mountain,Phoenix
2018-02-04,121016.0,Santa Cruz Metro Transit Dist,Santa Cruz Metro Transit Dist,Under 500k,Pacific,Santa Cruz
2018-02-04,7988366.0,Los Angeles County MTA,Los Angeles County MTA,2M+,Pacific,Los Angeles
2018-02-04,132013.0,GoDurham Transit,GoDurham Transit,Under 500k,South-Atlantic,Raleigh
2018-02-04,271904.0,Capital District Transp Auth,Capital District Transp Auth,"500,000-1.99M",Mid-Atlantic,Albany
2018-02-04,96880.0,District Dept of Transp,District Dept of Transp,2M+,South-Atlantic,Washington D.C.
2018-02-04,834613.0,Utah Transit Authority,Utah Transit Authority,"500,000-1.99M",Mountain,Salt Lake City
2018-02-04,24638.0,Yolo County Transportation District,Yolo County Transportation District,"500,000-1.99M",Pacific,Sacramento
2018-02-04,32628.0,GoTriangle,GoTriangle,Under 500k,South-Atlantic,Raleigh
2018-02-04,1389668.0,RTC of Southern Nevada,RTC of Southern Nevada,"500,000-1.99M",Mountain,Las Vegas
2018-02-04,59162.0,"Arlington County, Virginia","Arlington County, Virginia",2M+,South-Atlantic,Washington D.C.
2018-02-04,253293.0,Pinellas Suncoast Tran Auth,Pinellas Suncoast Tran Auth,2M+,South-Atlantic,Tampa
2018-02-04,685778.0,Bi-State Dev Agency,Bi-State Dev Agency,2M+,West Central,St. Louis
2018-02-04,150593.0,MTA Staten Island Railway,MTA Staten Island Railway,2M+,Mid-Atlantic,NYC
2018-02-04,74665.0,Torrance Transit System,Torrance Transit System,2M+,Pacific,Los Angeles
2018-02-04,285967.0,Jacksonville Transp Auth,Jacksonville Transp Auth,"500,000-1.99M",South-Atlantic,Jacksonville
2018-02-04,77560.0,Denton County Transportation Auth,Denton County Transportation Auth,Under 500k,West Central,Dallas
2018-02-04,213823.0,Spokane Transit Authority,Spokane Transit Authority,Under 500k,Pacific,Spokane
2018-02-04,65976.0,Gardena Municipal Bus Lines,Gardena Municipal Bus Lines,2M+,Pacific,Los Angeles
2018-02-04,463665.0,Niagara Frontier Trp Auth,Niagara Frontier Trp Auth,"500,000-1.99M",Mid-Atlantic,Buffalo
2018-02-04,1982149.0,Miami-Dade Transit Agency,Miami-Dade Transit Agency,2M+,South-Atlantic,Miami
2018-02-04,2044674.0,MTA Long Island Rail Road,MTA Long Island Rail Road,2M+,Mid-Atlantic,NYC
2018-02-04,365619.0,Caltrain,Caltrain,2M+,Pacific,SF Bay Area
2018-02-04,1866091.0,Tri-County Metro Trp Dist,Tri-County Metro Trp Dist,"500,000-1.99M",Pacific,Portland
2018-02-04,33472.0,Modesto Area Express,Modesto Area Express,Under 500k,Pacific,Modesto
2018-02-04,189335.0,Snohomish County PTBA,Snohomish County PTBA,2M+,Pacific,Seattle
2018-02-04,59047.0,Northern IN Commuter TD,Northern IN Commuter TD,2M+,East Central,Chicago
2018-02-04,1249383.0,Metra,Metra,2M+,East Central,Chicago
2018-02-04,138367.0,Delaware Transit Corp,Delaware Transit Corp,2M+,South-Atlantic,Delaware
2018-02-04,65608.0,San Joaquin Reg Trans Dist,San Joaquin Reg Trans Dist,Under 500k,Pacific,Stockton
2018-02-04,2524281.0,Metro Atlanta Rapid Tr Auth,Metro Atlanta Rapid Tr Auth,2M+,South-Atlantic,Atlanta
2018-02-04,98658.0,Culver CityBus,Culver CityBus,2M+,Pacific,Los Angeles
2018-02-04,58565.0,Marin County Transit District,Marin County Transit District,Under 500k,Pacific,SF Bay Area
2018-02-04,65729887.0,MTA New York City Transit,MTA New York City Transit,2M+,Mid-Atlantic,NYC
2018-02-04,235693.0,Transit Auth of River City,Transit Auth of River City,"500,000-1.99M",East Central,Louisville
2018-02-04,141554.0,Greater Richmond Transit Company,Greater Richmond Transit Company,"500,000-1.99M",South-Atlantic,Richmond
2018-02-04,171178.0,Greater Dayton Regional TA,Greater Dayton Regional TA,"500,000-1.99M",East Central,Dayton
2018-02-04,199381.0,Metropolitan Transit Auth,Metropolitan Transit Auth,"500,000-1.99M",East Central,Nashville
2018-02-04,193674.0,Indianapolis Public Trp Corp,Indianapolis Public Trp Corp,"500,000-1.99M",East Central,Indianapolis
2018-02-04,252491.0,OMNITRANS,OMNITRANS,"500,000-1.99M",Pacific,Los Angeles
2018-02-04,6470920.0,Washington Metro Area TA,Washington Metro Area TA,2M+,South-Atlantic,Washington D.C.
2018-02-04,174589.0,Pierce Transit,Pierce Transit,2M+,Pacific,Seattle
2018-02-04,48999.0,Water Emergency Tr Auth,Water Emergency Tr Auth,2M+,Pacific,SF Bay Area
2018-02-04,212653.0,Southern California RRA,Southern California RRA,2M+,Pacific,Los Angeles
2018-02-04,403872.0,Charlotte Area Transit,Charlotte Area Transit,"500,000-1.99M",South-Atlantic,Charlotte
2018-02-04,358186.0,Rhode Island Public TA,Rhode Island Public TA,Under 500k,New England,Providence
2018-02-04,139152.0,RTC of Washoe County,RTC of Washoe County,Under 500k,Mountain,Reno
2018-02-04,98483.0,METRO Regional Transit Authority,METRO Regional Transit Authority,"500,000-1.99M",East Central,Cleveland
2018-02-04,431145.0,Sacramento Reg Tr Dist,Sacramento Reg Tr Dist,"500,000-1.99M",Pacific,Sacramento
2018-02-04,1774291.0,San Diego Metrop Transit System,San Diego Metrop Transit System,2M+,Pacific,San Diego
2018-02-04,458510.0,City of Detroit Dept of Trp,City of Detroit Dept of Trp,2M+,East Central,Detroit
2018-02-04,1344841.0,City & Cnty of Honolulu DOTS,City & Cnty of Honolulu DOTS,"500,000-1.99M",Pacific,Oahu
2018-02-04,391841.0,Regional Transit Auth,Regional Transit Auth,"500,000-1.99M",West Central,New Orleans
2018-02-04,99998.0,GoRaleigh,GoRaleigh,"500,000-1.99M",South-Atlantic,Raleigh
2018-02-04,1643882.0,Maryland Transit Admin,Maryland Transit Admin,2M+,South-Atlantic,Baltimore
2018-02-04,1799085.0,Metro Tr Auth of Harris Co,Metro Tr Auth of Harris Co,2M+,West Central,Houston
2018-02-04,416811.0,Montgomery County Ride-On,Montgomery County Ride-On,2M+,South-Atlantic,Washington D.C.
2018-02-04,888536.0,Sound Transit,Sound Transit,2M+,Pacific,Seattle
2018-02-04,2454735.0,San Francisco Bay Area RTD,San Francisco Bay Area RTD,2M+,Pacific,SF Bay Area
2018-02-04,392905.0,Central Ohio Transit Auth,Central Ohio Transit Auth,"500,000-1.99M",East Central,Columbus
2018-02-04,102831.0,"Golden Gate Bridge, Hwy & TD","Golden Gate Bridge, Hwy & TD",2M+,Pacific,SF Bay Area
2018-02-04,13018.0,City of Fairfax CUE Bus,City of Fairfax CUE Bus,2M+,South-Atlantic,Washington D.C.
2018-02-04,131118.0,South Florida RTA (Tri-Rail),South Florida RTA (Tri-Rail),2M+,South-Atlantic,Miami
2018-02-04,1045707.0,Alameda-Contra Costa TD,Alameda-Contra Costa TD,2M+,Pacific,SF Bay Area
2018-02-04,31704.0,Livermore/Amador Valley TA,Livermore/Amador Valley TA,"500,000-1.99M",Pacific,SF Bay Area
2018-02-04,345988.0,Champaign-Urbana MTD,Champaign-Urbana MTD,Under 500k,East Central,Champaign-Urbana
2018-02-04,8852061.0,Chicago Transit Authority,Chicago Transit Authority,2M+,East Central,Chicago
2018-02-04,53341.0,Minnesota Valley Transit Auth,Minnesota Valley Transit Auth,2M+,West Central,Minneapolis-Saint Paul
2018-02-04,55611.0,Santa Clarita Transit,Santa Clarita Transit,Under 500k,Pacific,Los Angeles
2018-02-04,175393.0,Riverside Transit Agency,Riverside Transit Agency,"500,000-1.99M",Pacific,Los Angeles
2018-02-04,157095.0,Fairfax County Dept of Transp,Fairfax County Dept of Transp,2M+,South-Atlantic,Washington D.C.
2018-02-04,4246180.0,San Francisco Muni Rwy,San Francisco Muni Rwy,2M+,Pacific,SF Bay Area
2018-02-04,40675.0,Madison County Trans Dist,Madison County Trans Dist,2M+,East Central,St. Louis
2018-02-04,5875286.0,Southeastern Penn TA,Southeastern Penn TA,2M+,Mid-Atlantic,Philadelphia
2018-02-04,7203323.0,Massachusetts Bay Tr Auth,Massachusetts Bay Tr Auth,2M+,New England,Boston
2018-02-04,58369.0,Kitsap Transit,Kitsap Transit,Under 500k,Pacific,Seattle
2018-02-04,206083.0,Lane Transit District ,Lane Transit District ,Under 500k,Pacific,Eugene
2018-02-04,345563.0,"Metro Transit, City of Madison","Metro Transit, City of Madison",Under 500k,East Central,Madison
2018-02-04,222137.0,North County Transit District,North County Transit District,2M+,Pacific,San Diego
2018-02-04,243739.0,Palm Beach County STD,Palm Beach County STD,2M+,South-Atlantic,Miami
2018-02-04,88430.0,Transit Auth Lexington-Fayette,Transit Auth Lexington-Fayette,Under 500k,East Central,Lexington
2018-02-04,1213640.0,Port Auth of Allegheny Co,Port Auth of Allegheny Co,"500,000-1.99M",Mid-Atlantic,Pittsburgh
2018-02-04,615437.0,Capital Metropolitan Trp Auth,Capital Metropolitan Trp Auth,"500,000-1.99M",West Central,Austin
2018-02-04,48657.0,PRTC Omni-Ride,PRTC Omni-Ride,2M+,South-Atlantic,Washington D.C.
2018-02-04,8679.0,LAKETRAN,LAKETRAN,"500,000-1.99M",East Central,Cleveland
2018-02-04,811481.0,VIA Metropolitan Transit,VIA Metropolitan Transit,"500,000-1.99M",West Central,San Antonio
2018-02-04,31169.0,Detroit Transp Corp/DPM,Detroit Transp Corp/DPM,2M+,East Central,Detroit
2018-02-04,246052.0,Southwest Ohio RTA,Southwest Ohio RTA,"500,000-1.99M",East Central,Cincinnati
2018-02-04,51891.0,Prince Georges County Transp,Prince Georges County Transp,2M+,South-Atlantic,Washington D.C.
2018-02-04,247414.0,Interurban Transit Partnership,Interurban Transit Partnership,"500,000-1.99M",East Central,Grand Rapids
2018-02-04,672529.0,Broward County Transit,Broward County Transit,2M+,South-Atlantic,Miami
2018-02-04,45714.0,Eastern Contra Costa Tr Auth,Eastern Contra Costa Tr Auth,Under 500k,Pacific,SF Bay Area
2018-02-04,65057.0,Charleston Area RTA,Charleston Area RTA,"500,000-1.99M",South-Atlantic,Charleston
2018-02-04,147768.0,Ann Arbor Transportation Auth,Ann Arbor Transportation Auth,Under 500k,East Central,Ann Arbor
2018-02-04,5159758.0,New Jersey Transit Corp,New Jersey Transit Corp,2M+,Mid-Atlantic,New Jersey
2018-02-04,415419.0,New York City DOT,New York City DOT,2M+,Mid-Atlantic,NYC
2018-02-04,276382.0,Kansas City Area Trp Auth,Kansas City Area Trp Auth,"500,000-1.99M",West Central,Kansas City
2018-02-04,115284.0,Trinity Metro,Trinity Metro,2M+,West Central,Dallas
2018-02-04,80919.0,Lee Tran ,Lee Tran ,"500,000-1.99M",South-Atlantic,Fort Myers
2018-02-04,254706.0,Santa Monica's Big Blue Bus,Santa Monica's Big Blue Bus,2M+,Pacific,Los Angeles
2018-02-04,60688.0,Salem-Keizer Transit,Salem-Keizer Transit,Under 500k,Pacific,Salem-Keizer
2018-02-04,214817.0,Port Authority Transit Corp,Port Authority Transit Corp,2M+,Mid-Atlantic,Philadelphia
2018-02-04,111159.0,Clark Co Pub Trp Benefit Area,Clark Co Pub Trp Benefit Area,"500,000-1.99M",Pacific,Vancouver
2018-02-04,702073.0,Greater Cleveland Reg TA,Greater Cleveland Reg TA,"500,000-1.99M",East Central,Cleveland
2018-02-04,217504.0,San Mateo County Tran Dist,San Mateo County Tran Dist,2M+,Pacific,SF Bay Area
2018-02-04,14264.0,Ventura County Transp Comm,Ventura County Transp Comm,Under 500k,Pacific,Ventura County
2018-02-04,1533451.0,MTA Metro-North Railroad,MTA Metro-North Railroad,2M+,Mid-Atlantic,NYC
2018-02-04,84547.0,Monterey-Salinas Transit,Monterey-Salinas Transit,Under 500k,Pacific,Monterey
2018-02-04,276965.0,Hampton Roads Transit,Hampton Roads Transit,"500,000-1.99M",South-Atlantic,Hampton Roads
2018-02-04,579569.0,Milwaukee County Tr Sys,Milwaukee County Tr Sys,"500,000-1.99M",East Central,Milwaukee County
2018-02-04,71111.0,Central Contra Costa TA,Central Contra Costa TA,"500,000-1.99M",Pacific,SF Bay Area
2018-02-11,130534.0,South Florida RTA (Tri-Rail),South Florida RTA (Tri-Rail),2M+,South-Atlantic,Miami
2018-02-11,222506.0,Port Authority Transit Corp,Port Authority Transit Corp,2M+,Mid-Atlantic,Philadelphia
2018-02-11,1056425.0,Alameda-Contra Costa TD,Alameda-Contra Costa TD,2M+,Pacific,SF Bay Area
2018-02-11,352856.0,Champaign-Urbana MTD,Champaign-Urbana MTD,Under 500k,East Central,Champaign-Urbana
2018-02-11,9247860.0,Chicago Transit Authority,Chicago Transit Authority,2M+,East Central,Chicago
2018-02-11,299470.0,Kansas City Area Trp Auth,Kansas City Area Trp Auth,"500,000-1.99M",West Central,Kansas City
2018-02-11,51830.0,Minnesota Valley Transit Auth,Minnesota Valley Transit Auth,2M+,West Central,Minneapolis-Saint Paul
2018-02-11,184042.0,Riverside Transit Agency,Riverside Transit Agency,"500,000-1.99M",Pacific,Los Angeles
2018-02-11,82526.0,Lee Tran ,Lee Tran ,"500,000-1.99M",South-Atlantic,Fort Myers
2018-02-11,57695.0,Santa Clarita Transit,Santa Clarita Transit,Under 500k,Pacific,Los Angeles
2018-02-11,168235.0,Fairfax County Dept of Transp,Fairfax County Dept of Transp,2M+,South-Atlantic,Washington D.C.
2018-02-11,36528.0,Livermore/Amador Valley TA,Livermore/Amador Valley TA,"500,000-1.99M",Pacific,SF Bay Area
2018-02-11,66291336.0,MTA New York City Transit,MTA New York City Transit,2M+,Mid-Atlantic,NYC
2018-02-11,87403.0,Monterey-Salinas Transit,Monterey-Salinas Transit,Under 500k,Pacific,Monterey
2018-02-11,693348.0,Greater Cleveland Reg TA,Greater Cleveland Reg TA,"500,000-1.99M",East Central,Cleveland
2018-02-11,1971882.0,Regional Trp District,Regional Trp District,2M+,Mountain,Denver
2018-02-11,89162.0,Virginia Railway Express,Virginia Railway Express,2M+,South-Atlantic,Washington D.C.
2018-02-11,219303.0,San Mateo County Tran Dist,San Mateo County Tran Dist,2M+,Pacific,SF Bay Area
2018-02-11,775374.0,Santa Clara Valley Trp Auth,Santa Clara Valley Trp Auth,"500,000-1.99M",Pacific,SF Bay Area
2018-02-11,8451.0,LAKETRAN,LAKETRAN,"500,000-1.99M",East Central,Cleveland
2018-02-11,300287.0,Hampton Roads Transit,Hampton Roads Transit,"500,000-1.99M",South-Atlantic,Hampton Roads
2018-02-11,1514511.0,Metro Transit,Metro Transit,2M+,West Central,Minneapolis-Saint Paul
2018-02-11,7306.0,City of Redondo Beach,City of Redondo Beach,2M+,Pacific,Los Angeles
2018-02-11,343351.0,City of Tucson MTS,City of Tucson MTS,"500,000-1.99M",Mountain,Tucson
2018-02-11,149527.0,GoDurham Transit,GoDurham Transit,Under 500k,South-Atlantic,Raleigh
2018-02-11,1335850.0,Dallas Area Rapid Transit,Dallas Area Rapid Transit,2M+,West Central,Dallas
2018-02-11,2612010.0,MTA Bus Company,MTA Bus Company,2M+,Mid-Atlantic,NYC
2018-02-11,8238509.0,Los Angeles County MTA,Los Angeles County MTA,2M+,Pacific,Los Angeles
2018-02-11,5393617.0,New Jersey Transit Corp,New Jersey Transit Corp,2M+,Mid-Atlantic,New Jersey
2018-02-11,18516.0,SunRail,SunRail,"500,000-1.99M",South-Atlantic,Orlando
2018-02-11,566754.0,Central Florida RTA,Central Florida RTA,"500,000-1.99M",South-Atlantic,Orlando
2018-02-11,828508.0,City of Phoenix PTD,City of Phoenix PTD,2M+,Mountain,Phoenix
2018-02-11,123532.0,Santa Cruz Metro Transit Dist,Santa Cruz Metro Transit Dist,Under 500k,Pacific,Santa Cruz
2018-02-11,2430433.0,King County Dept of Trp,King County Dept of Trp,2M+,Pacific,Seattle
2018-02-11,60974.0,Marin County Transit District,Marin County Transit District,Under 500k,Pacific,SF Bay Area
2018-02-11,246620.0,Transit Auth of River City,Transit Auth of River City,"500,000-1.99M",East Central,Louisville
2018-02-11,50411.0,PRTC Omni-Ride,PRTC Omni-Ride,2M+,South-Atlantic,Washington D.C.
2018-02-11,4205779.0,San Francisco Muni Rwy,San Francisco Muni Rwy,2M+,Pacific,SF Bay Area
2018-02-11,144365.0,Greater Richmond Transit Company,Greater Richmond Transit Company,"500,000-1.99M",South-Atlantic,Richmond
2018-02-11,71845.0,Salem-Keizer Transit,Salem-Keizer Transit,Under 500k,Pacific,Salem-Keizer
2018-02-11,15120.0,Ventura County Transp Comm,Ventura County Transp Comm,Under 500k,Pacific,Ventura County
2018-02-11,172294.0,Pierce Transit,Pierce Transit,2M+,Pacific,Seattle
2018-02-11,49972.0,Water Emergency Tr Auth,Water Emergency Tr Auth,2M+,Pacific,SF Bay Area
2018-02-11,221082.0,Southern California RRA,Southern California RRA,2M+,Pacific,Los Angeles
2018-02-11,356858.0,Rhode Island Public TA,Rhode Island Public TA,Under 500k,New England,Providence
2018-02-11,442038.0,Charlotte Area Transit,Charlotte Area Transit,"500,000-1.99M",South-Atlantic,Charlotte
2018-02-11,100438.0,METRO Regional Transit Authority,METRO Regional Transit Authority,"500,000-1.99M",East Central,Cleveland
2018-02-11,1819394.0,San Diego Metrop Transit System,San Diego Metrop Transit System,2M+,Pacific,San Diego
2018-02-11,2488661.0,San Francisco Bay Area RTD,San Francisco Bay Area RTD,2M+,Pacific,SF Bay Area
2018-02-11,387102.0,Sacramento Reg Tr Dist,Sacramento Reg Tr Dist,"500,000-1.99M",Pacific,Sacramento
2018-02-11,6758846.0,Washington Metro Area TA,Washington Metro Area TA,2M+,South-Atlantic,Washington D.C.
2018-02-11,1568295.0,MTA Metro-North Railroad,MTA Metro-North Railroad,2M+,Mid-Atlantic,NYC
2018-02-11,1303887.0,City & Cnty of Honolulu DOTS,City & Cnty of Honolulu DOTS,"500,000-1.99M",Pacific,Oahu
2018-02-11,71321.0,Central Contra Costa TA,Central Contra Costa TA,"500,000-1.99M",Pacific,SF Bay Area
2018-02-11,117654.0,GoRaleigh,GoRaleigh,"500,000-1.99M",South-Atlantic,Raleigh
2018-02-11,366208.0,Regional Transit Auth,Regional Transit Auth,"500,000-1.99M",West Central,New Orleans
2018-02-11,1749011.0,Maryland Transit Admin,Maryland Transit Admin,2M+,South-Atlantic,Baltimore
2018-02-11,1870648.0,Metro Tr Auth of Harris Co,Metro Tr Auth of Harris Co,2M+,West Central,Houston
2018-02-11,882278.0,Sound Transit,Sound Transit,2M+,Pacific,Seattle
2018-02-11,435262.0,Montgomery County Ride-On,Montgomery County Ride-On,2M+,South-Atlantic,Washington D.C.
2018-02-11,238009.0,Interurban Transit Partnership,Interurban Transit Partnership,"500,000-1.99M",East Central,Grand Rapids
2018-02-11,491006.0,City of Detroit Dept of Trp,City of Detroit Dept of Trp,2M+,East Central,Detroit
2018-02-11,151685.0,Ann Arbor Transportation Auth,Ann Arbor Transportation Auth,Under 500k,East Central,Ann Arbor
2018-02-11,271702.0,Santa Monica's Big Blue Bus,Santa Monica's Big Blue Bus,2M+,Pacific,Los Angeles
2018-02-11,6124115.0,Southeastern Penn TA,Southeastern Penn TA,2M+,Mid-Atlantic,Philadelphia
2018-02-11,7134628.0,Massachusetts Bay Tr Auth,Massachusetts Bay Tr Auth,2M+,New England,Boston
2018-02-11,205094.0,Lane Transit District ,Lane Transit District ,Under 500k,Pacific,Eugene
2018-02-11,56498.0,Tr Auth of Northern Kentucky,Tr Auth of Northern Kentucky,"500,000-1.99M",East Central,Cincinnati
2018-02-11,308995.0,"Metro Transit, City of Madison","Metro Transit, City of Madison",Under 500k,East Central,Madison
2018-02-11,205101.0,North County Transit District,North County Transit District,2M+,Pacific,San Diego
2018-02-11,620574.0,Capital Metropolitan Trp Auth,Capital Metropolitan Trp Auth,"500,000-1.99M",West Central,Austin
2018-02-11,803137.0,VIA Metropolitan Transit,VIA Metropolitan Transit,"500,000-1.99M",West Central,San Antonio
2018-02-11,90185.0,Transit Auth Lexington-Fayette,Transit Auth Lexington-Fayette,Under 500k,East Central,Lexington
2018-02-11,236137.0,Palm Beach County STD,Palm Beach County STD,2M+,South-Atlantic,Miami
2018-02-11,122515.0,Trinity Metro,Trinity Metro,2M+,West Central,Dallas
2018-02-11,1279351.0,Port Auth of Allegheny Co,Port Auth of Allegheny Co,"500,000-1.99M",Mid-Atlantic,Pittsburgh
2018-02-11,13941.0,City of Fairfax CUE Bus,City of Fairfax CUE Bus,2M+,South-Atlantic,Washington D.C.
2018-02-11,104439.0,"Golden Gate Bridge, Hwy & TD","Golden Gate Bridge, Hwy & TD",2M+,Pacific,SF Bay Area
2018-02-11,395283.0,Central Ohio Transit Auth,Central Ohio Transit Auth,"500,000-1.99M",East Central,Columbus
2018-02-11,195234.0,RTC of Washoe County,RTC of Washoe County,Under 500k,Mountain,Reno
2018-02-11,254520.0,Foothill Transit,Foothill Transit,2M+,Pacific,Los Angeles
2018-02-11,54506.0,Prince Georges County Transp,Prince Georges County Transp,2M+,South-Atlantic,Washington D.C.
2018-02-11,196713.0,Metropolitan Transit Auth,Metropolitan Transit Auth,"500,000-1.99M",East Central,Nashville
2018-02-11,176284.0,Greater Dayton Regional TA,Greater Dayton Regional TA,"500,000-1.99M",East Central,Dayton
2018-02-11,188891.0,Indianapolis Public Trp Corp,Indianapolis Public Trp Corp,"500,000-1.99M",East Central,Indianapolis
2018-02-11,296234.0,Hillsborough Area Reg TA,Hillsborough Area Reg TA,2M+,South-Atlantic,Tampa
2018-02-11,252472.0,OMNITRANS,OMNITRANS,"500,000-1.99M",Pacific,Los Angeles
2018-02-11,41482.0,Madison County Trans Dist,Madison County Trans Dist,2M+,East Central,St. Louis
2018-02-11,64267.0,Kitsap Transit,Kitsap Transit,Under 500k,Pacific,Seattle
2018-02-11,575802.0,Long Beach Transit,Long Beach Transit,2M+,Pacific,Los Angeles
2018-02-11,38502.0,Modesto Area Express,Modesto Area Express,Under 500k,Pacific,Modesto
2018-02-11,1314917.0,Metra,Metra,2M+,East Central,Chicago
2018-02-11,2087268.0,Miami-Dade Transit Agency,Miami-Dade Transit Agency,2M+,South-Atlantic,Miami
2018-02-11,32290.0,Detroit Transp Corp/DPM,Detroit Transp Corp/DPM,2M+,East Central,Detroit
2018-02-11,111940.0,Unitrans,Unitrans,Under 500k,Pacific,Sacramento
2018-02-11,716619.0,Bi-State Dev Agency,Bi-State Dev Agency,2M+,West Central,St. Louis
2018-02-11,2068782.0,MTA Long Island Rail Road,MTA Long Island Rail Road,2M+,Mid-Atlantic,NYC
2018-02-11,308489.0,Rochester Genesee RTA,Rochester Genesee RTA,"500,000-1.99M",Mid-Atlantic,Rochester
2018-02-11,132450.0,Delaware Transit Corp,Delaware Transit Corp,2M+,South-Atlantic,Delaware
2018-02-11,428170.0,New York City DOT,New York City DOT,2M+,Mid-Atlantic,NYC
2018-02-11,154514.0,MTA Staten Island Railway,MTA Staten Island Railway,2M+,Mid-Atlantic,NYC
2018-02-11,46622.0,Eastern Contra Costa Tr Auth,Eastern Contra Costa Tr Auth,Under 500k,Pacific,SF Bay Area
2018-02-11,307272.0,Capital District Transp Auth,Capital District Transp Auth,"500,000-1.99M",Mid-Atlantic,Albany
2018-02-11,98966.0,District Dept of Transp,District Dept of Transp,2M+,South-Atlantic,Washington D.C.
2018-02-11,301995.0,Jacksonville Transp Auth,Jacksonville Transp Auth,"500,000-1.99M",South-Atlantic,Jacksonville
2018-02-11,488853.0,Niagara Frontier Trp Auth,Niagara Frontier Trp Auth,"500,000-1.99M",Mid-Atlantic,Buffalo
2018-02-11,72411.0,San Joaquin Reg Trans Dist,San Joaquin Reg Trans Dist,Under 500k,Pacific,Stockton
2018-02-11,72026.0,Charleston Area RTA,Charleston Area RTA,"500,000-1.99M",South-Atlantic,Charleston
2018-02-11,75198.0,Denton County Transportation Auth,Denton County Transportation Auth,Under 500k,West Central,Dallas
2018-02-11,851075.0,Utah Transit Authority,Utah Transit Authority,"500,000-1.99M",Mountain,Salt Lake City
2018-02-11,702944.0,Broward County Transit,Broward County Transit,2M+,South-Atlantic,Miami
2018-02-11,2821980.0,Metro Atlanta Rapid Tr Auth,Metro Atlanta Rapid Tr Auth,2M+,South-Atlantic,Atlanta
2018-02-11,78933.0,Torrance Transit System,Torrance Transit System,2M+,Pacific,Los Angeles
2018-02-11,106126.0,Culver CityBus,Culver CityBus,2M+,Pacific,Los Angeles
2018-02-11,218069.0,Spokane Transit Authority,Spokane Transit Authority,Under 500k,Pacific,Spokane
2018-02-11,279034.0,Southwest Ohio RTA,Southwest Ohio RTA,"500,000-1.99M",East Central,Cincinnati
2018-02-11,28738.0,San Joaquin Reg Rail Comm,San Joaquin Reg Rail Comm,Under 500k,Pacific,SF Bay Area
2018-02-11,67938.0,Gardena Municipal Bus Lines,Gardena Municipal Bus Lines,2M+,Pacific,Los Angeles
2018-02-11,273526.0,Pinellas Suncoast Tran Auth,Pinellas Suncoast Tran Auth,2M+,South-Atlantic,Tampa
2018-02-11,1368577.0,RTC of Southern Nevada,RTC of Southern Nevada,"500,000-1.99M",Mountain,Las Vegas
2018-02-11,189409.0,Snohomish County PTBA,Snohomish County PTBA,2M+,Pacific,Seattle
2018-02-11,850338.0,Orange County Transp Auth,Orange County Transp Auth,2M+,Pacific,Los Angeles
2018-02-11,96631.0,Tompkins Consol Area Transit,Tompkins Consol Area Transit,Under 500k,Mid-Atlantic,Ithaca
2018-02-11,25010.0,Yolo County Transportation District,Yolo County Transportation District,"500,000-1.99M",Pacific,Sacramento
2018-02-11,1913820.0,Tri-County Metro Trp Dist,Tri-County Metro Trp Dist,"500,000-1.99M",Pacific,Portland
